title	imdb
Blood Brothers: Malcolm X & Muhammad Ali	6.9
Mighty Raju	5
Paradise Hills	5.2
The Women and the Murderer	6.4
Into the Night	7
JJ+E	5.4
Show Dogs	4
The Circle	5.4
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd	7.8
Kid Cosmic	7.9
Octonauts: Above & Beyond	7.2
On the Verge	6.5
Tobot Galaxy Detectives	6.2
Untold: Breaking Point	5
Countdown: Inspiration4 Mission to Space	7.8
Shadow Parties	6.9
Tayo the Little Bus	5.3
Angamaly Diaries	7.9
Bunk'd	5.4
A Champion Heart	5.7
Dive Club	6.2
La casa de papel	8.2
Money Heist: From Tokyo to Berlin	7.6
Sharkdog	6
Worth	6.8
Afterlife of the Party	5.8
Anjaam	6.6
Bright Star	6.9
Dhanak	7.8
Final Account	7.2
Gurgaon	6.4
Here and There	6
Heroes of Goo Jit Zu	7.5
Hotel Del Luna	8.1
In the Cut	5.4
Luv Kushh:	0
Pororo - The Little Penguin	5.7
Q-Force	6.7
Shikara	3.4
A Cinderella Story	5.9
Agatha Christie's Crooked House	6.3
An Unfinished Life	7
Barbie Big City Big Dreams	5.8
Blade Runner: The Final Cut	6.4
Brave Animated Series	7.6
Chappie	6.8
Clear and Present Danger	6.9
Cliffhanger	6.5
Cold Mountain	7.2
Crocodile Dundee in Los Angeles	4.8
Dear John	6.3
Do the Right Thing	8
"El patrón, radiografía de un crimen"	7.3
Extraction	6.8
Freedom Writers	7.6
Green Lantern	5.5
House Party	6.5
House Party 2	5.3
House Party 3	4.7
